Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,popularity,avgScore,tags,Genres,Themes,Settings,Tone/Mood,Audience,Writing Style,Features,Time Period
"The little prince,","Hello, I am the Little Prince. Bonjour, je suis le Petit Prince. Meet the Little Prince and read about his tiny planet - in both English and French! This classic, beloved tale is re-imagined as a beautiful, padded board book, with original illustrations and a playful, sweet design.",['Antoine de Saint-Exupery'],http://books.google.com/books/content?id=kwyOrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=kwyOrgEACAAJ&dq=The+little+prince,&hl=&cd=1&source=gbs_api",HMH Books For Young Readers,2015-10-13,"http://books.google.nl/books?id=kwyOrgEACAAJ&dq=The+little+prince,&hl=&source=gbs_api",['Juvenile Fiction'],477,4.3920335429769395,"Here are the chosen tags for the book ""The Little Prince"":

### Genres

- Fantasy
- Children's
- Classic

### Themes

- Friendship
- Love
- Identity
- Good vs. Evil
- Courage
- Loss

### Settings

- High Fantasy World
- Space

### Tone/Mood

- Whimsical
- Inspirational
- Uplifting
- Heartwarming
- Bittersweet

### Audience

- Children
- All Ages

### Writing Style

- Third-Person Narrative
- Descriptive
- Lyrical

### Features

- Magic
- Time Travel
- Quest

### Time Period

- Timeless","Fantasy, Children's, Classic","Friendship, Love, Identity, Good vs. Evil, Courage, Loss","High Fantasy World, Space","Whimsical, Inspirational, Uplifting, Heartwarming, Bittersweet","Children, All Ages","Third-Person Narrative, Descriptive, Lyrical","Magic, Time Travel, Quest",Timeless
Executive Orders,"Don't Miss the Original Series Tom Clancy's Jack Ryan Starring John Krasinski! The President is dead. Now, the weight of the world falls on Jack Ryan’s shoulders in this extraordinary #1 New York Times bestseller from Tom Clancy. At the climax of Debt of Honor, the most devastating terrorist act in the history of the world left the President, the Joint Chiefs, the Supreme Court, and nearly all of Congress dead. Only Jack Ryan, confirmed Vice President mere minutes before, survived to take the reins of a shaken and leaderless country. Now he must rebuild a government, comfort a grieving nation, and become a true leader. Meanwhile, he is surrounded by enemies—both inside the White House and around the world—all of them plotting to destroy an untested President. And bring an already wounded country to its knees....",['Tom Clancy'],http://books.google.com/books/content?id=xFyxR7_oV8sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=xFyxR7_oV8sC&printsec=frontcover&dq=Executive+Orders&hl=&cd=1&source=gbs_api,Penguin,1997-08-01,https://play.google.com/store/books/details?id=xFyxR7_oV8sC&source=gbs_api,['Fiction'],264,3.8257575757575757,"Here are the chosen tags for the book ""Executive Orders"" by Tom Clancy:

### Genres

- Thriller
- Action
- Adventure
- Fiction
- Suspense

### Themes

- Power
- Leadership
- Survival
- Betrayal
- Redemption
- Good vs. Evil

### Settings

- Contemporary
- White House
- United States
- World

### Tone/Mood

- Suspenseful
- Action-Packed
- Gritty
- Dramatic

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Fast-Paced
- Plot-Driven

### Features

- Political Intrigue
- Espionage
- Terrorism
- Assassination
- Leadership Crisis

### Time Period

- Contemporary","Thriller, Action, Adventure, Fiction, Suspense","Power, Leadership, Survival, Betrayal, Redemption, Good vs. Evil","Contemporary, White House, United States, World","Suspenseful, Action-Packed, Gritty, Dramatic",Adult,"Third-Person Narrative, Fast-Paced, Plot-Driven","Political Intrigue, Espionage, Terrorism, Assassination, Leadership Crisis",Contemporary
Old Man & the Sea,"From the New York Times–bestselling author of Poison Flower: a retired intelligence officer is caught in “[a] harrowing hunt-and-hide adventure” (The New York Times). To all appearances, Dan Chase is a harmless retiree in Vermont with two big mutts and a grown daughter he keeps in touch with by phone. But most sixty-year-old widowers don’t have multiple driver’s licenses, savings stockpiled in banks across the country, or two Beretta Nanos stashed in the spare bedroom closet. Most have not spent decades on the run. Thirty-five years ago, as a young army intelligence hotshot, Chase was sent to Libya to covertly assist a rebel army. When the plan turned sour, Chase acted according to his conscience—and triggered consequences he never could have anticipated. To this day, someone still wants him dead. And just when he thought he was finally safe, Chase is confronted with the history he spent much of his life trying to escape. “Perry drives deep into Jack Reacher territory in this stand-alone [novel] . . . Swift, unsentimental, and deeply satisfying. Liam Neeson would be perfect in the title role.” —Kirkus Reviews",['Thomas Perry'],http://books.google.com/books/content?id=JoX9DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=JoX9DAAAQBAJ&pg=PP1&dq=Old+Man&hl=&cd=1&source=gbs_api,"Grove/Atlantic, Inc.",2017-01-03,https://play.google.com/store/books/details?id=JoX9DAAAQBAJ&source=gbs_api,['Fiction'],682,4.092375366568915,"Here are the chosen tags for the book ""Old Man & the Sea"" by Thomas Perry:

### Genres

* Thriller
* Mystery
* Suspense

### Themes

* Revenge
* Betrayal
* Redemption
* Courage
* Power
* Loss

### Settings

* Contemporary
* Historical Era (World War I)

### Tone/Mood

* Suspenseful
* Emotional
* Tense
* Dramatic
* Reflective

### Audience

* Adult

### Writing Style

* Third-Person Narrative
* Descriptive
* Fast-Paced
* Plot-Driven","Thriller, Mystery, Suspense","Revenge, Betrayal, Redemption, Courage, Power, Loss","Contemporary, Historical Era (World War I)","Suspenseful, Emotional, Tense, Dramatic, Reflective",Adult,"Third-Person Narrative, Descriptive, Fast-Paced, Plot-Driven",,
The Lion's Game,"Detective John Corey, last seen in Plum Island, now faces his toughest assignment yet: the pursuit and capture of the world's most dangerous terrorist -- a young Arab known as ""The Lion"" who has baffled a federal task force and shows no sign of stopping in his quest for revenge against the American pilots who bombed Libya and killed his family. Filled with unrelenting suspense and surprising plot twists at every terrifying turn, The Lion's Game is a heartstopping race against time and one of Nelson DeMille's most riveting thrillers.",['Nelson DeMille'],http://books.google.com/books/content?id=wOzuSVQWv74C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=wOzuSVQWv74C&printsec=frontcover&dq=The+Lion%27s+Game&hl=&cd=1&source=gbs_api,Grand Central Publishing,2000-09-01,https://play.google.com/store/books/details?id=wOzuSVQWv74C&source=gbs_api,['Fiction'],480,4.070833333333334,"Here are the chosen tags for the book ""The Lion's Game"":

### Genres

* Thriller
* Crime
* Mystery

### Themes

* Revenge
* Justice
* Power
* Betrayal
* Survival
* Good vs. Evil

### Settings

* Contemporary
* Historical (Libya)

### Tone/Mood

* Suspenseful
* Tense
* Dramatic

### Audience

* Adult

### Writing Style

* Plot-Driven
* Fast-Paced

### Features

* Mystery Solving
* Detective Work
* Espionage
* Revenge

### Time Period

* Contemporary
* Historical (World War II)","Thriller, Crime, Mystery","Revenge, Justice, Power, Betrayal, Survival, Good vs. Evil","Contemporary, Historical (Libya)","Suspenseful, Tense, Dramatic",Adult,"Plot-Driven, Fast-Paced","Mystery Solving, Detective Work, Espionage, Revenge","Contemporary, Historical (World War II)"
House Atreides,"A prequel to Frank Herbert's science fiction novel, ""Dune,"" journeys back to the planet Arrakis to visit the extraordinary desert world decades before Paul Atreides arrives to change the history of the universe",['Brian Herbert' ' Kevin J. Anderson' ' Frank Herbert'],http://books.google.com/books/content?id=nf5aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=nf5aAAAAMAAJ&q=House+Atreides&dq=House+Atreides&hl=&cd=1&source=gbs_api,Spectra,1999-01-01,http://books.google.com/books?id=nf5aAAAAMAAJ&dq=House+Atreides&hl=&source=gbs_api,['Fiction'],369,3.4769647696476964,"Here are the chosen tags for the book ""House Atreides"":

### Genres

- Science Fiction
- Fantasy

### Themes

- Power
- Family
- Identity
- Redemption
- Survival
- Good vs. Evil
- Betrayal

### Settings

- Futuristic
- Space
- High Fantasy World
- Desert

### Tone/Mood

- Suspenseful
- Dramatic
- Reflective

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Plot-Driven

### Features

- Magic
- Supernatural Elements
- Technology
- Quest

### Time Period

- Futuristic
- Distant Future","Science Fiction, Fantasy","Power, Family, Identity, Redemption, Survival, Good vs. Evil, Betrayal","Futuristic, Space, High Fantasy World, Desert","Suspenseful, Dramatic, Reflective",Adult,"Third-Person Narrative, Plot-Driven","Magic, Supernatural Elements, Technology, Quest","Futuristic, Distant Future"
WE WERE SOLDIERS ONCE . . . AND YOUNG : IA DRANG The Battle That Changed the War in Vietnam (LIBRARY OF MILITARY HISTORY),"New York Times Bestseller: A “powerful and epic story . . . the best account of infantry combat I have ever read” (Col. David Hackworth, author of About Face). In November 1965, some 450 men of the First Battalion, Seventh Cavalry, under the command of Lt. Col. Harold Moore, were dropped into a small clearing in the Ia Drang Valley. They were immediately surrounded by 2,000 North Vietnamese soldiers. Three days later, only two and a half miles away, a sister battalion was brutally slaughtered. Together, these actions at the landing zones X-Ray and Albany constituted one of the most savage and significant battles of the Vietnam War. They were the first major engagements between the US Army and the People’s Army of Vietnam. How these Americans persevered—sacrificing themselves for their comrades and never giving up—creates a vivid portrait of war at its most devastating and inspiring. Lt. Gen. Moore and Joseph L. Galloway—the only journalist on the ground throughout the fighting—interviewed hundreds of men who fought in the battle, including the North Vietnamese commanders. Their poignant account rises above the ordeal it chronicles to depict men facing the ultimate challenge, dealing with it in ways they would have once found unimaginable. It reveals to us, as rarely before, man’s most heroic and horrendous endeavor.",['Harold G. Moore' ' Joseph L. Galloway'],http://books.google.com/books/content?id=RrVV-b_2enkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=RrVV-b_2enkC&printsec=frontcover&dq=WE+WERE+SOLDIERS+ONCE+.+.+.+AND+YOUNG+:+IA+DRANG+The+Battle+That+Changed+the+War+in+Vietnam+(LIBRARY+OF+MILITARY+HISTORY)&hl=&cd=1&source=gbs_api,Open Road Media,2012-11-06,https://play.google.com/store/books/details?id=RrVV-b_2enkC&source=gbs_api,['History'],300,4.72,"Here are the chosen tags:

**Genres**

* Non-Fiction
* History
* Biography
* Military

**Themes**

* War
* Courage
* Sacrifice
* Identity
* Power
* Loss

**Settings**

* Vietnam
* Historical Era (Vietnam War)

**Tone/Mood**

* Suspenseful
* Emotional
* Inspirational
* Gritty
* Melancholic

**Audience**

* Adult
* All Ages

**Writing Style**

* Non-Linear
* Multiple Perspectives
* Descriptive
* Historical

**Features**

* Historical events
* Military conflicts
* Interviews

**Time Period**

* 20th Century
* Vietnam War Era",,,,,,,,
Jane Eyre (Penguin Classics),"An iconic novel dressed in a fierce design by acclaimed fashion illustrator Ruben Toledo. This couture-inspired collection also features The Picture of Dorian Gray, Dracula, The Scarlet Letter, Wuthering Heights and Pride and Prejudice. Orphaned Jane Eyre endures an unhappy childhood, hated by her aunt and cousins and then sent to comfortless Lowood School. But life there improves and Jane stays on as a teacher, though she still longs for love and friendship. At Mr Rochester's house, where she goes to work as a governess, she hopes she might have found them - until she learns the terrible secret of the attic. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",['Charlotte Bronte'],http://books.google.com/books/content?id=9Kc_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=9Kc_DwAAQBAJ&printsec=frontcover&dq=Jane+Eyre+(Penguin+Classics)&hl=&cd=1&source=gbs_api,Penguin,2010-11-30,http://books.google.com/books?id=9Kc_DwAAQBAJ&dq=Jane+Eyre+(Penguin+Classics)&hl=&source=gbs_api,['Fiction'],1192,4.551174496644295,"Here are the chosen tags:

### Genres

- Classic
- Romance
- Historical Fiction

### Themes

- Love
- Redemption
- Identity
- Good vs. Evil
- Betrayal
- Courage
- Family
- Power
- Loss

### Settings

- Historical Era
- English Countryside
- Mr. Rochester's House

### Tone/Mood

- Emotional
- Suspenseful
- Dramatic
- Reflective

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Descriptive
- Dialogue-Driven

### Features

- Romance
- Forbidden Love

### Time Period

- 19th Century","Classic, Romance, Historical Fiction","Love, Redemption, Identity, Good vs. Evil, Betrayal, Courage, Family, Power, Loss","Historical Era, English Countryside, Mr. Rochester's House","Emotional, Suspenseful, Dramatic, Reflective",Adult,"Third-Person Narrative, Descriptive, Dialogue-Driven","Romance, Forbidden Love",19th Century
Creepers,"CREEPERS, David Morrell's gripping joyride of a thriller, depicts every harrowing second in eight hours of relentless terror. A New York Times bestseller, it received the prestigious Stoker Award from the Horror Writers Association. On a cold October night, five people gather in a run-down motel on the New Jersey shore and begin preparations to break in to the Paragon Hotel. Built in the glory days of Asbury Park by a reclusive millionaire, the magnificent structure—which foreshadowed the beauties of art-deco architecture—is now boarded up and marked for demolition. The five people are ""creepers,"" the slang term for urban explorers: city archeologists with a passion for investigating abandoned buildings and their dying secrets. On this evening, they are joined by a reporter who wants to profile them—anonymously, as this is a highly illegal activity—for a New York Times article. Frank Balenger isn't looking for just a story, however. And after the group enters the rat-infested tunnel leading to the hotel, it becomes clear that he will get much more than he bargained for. Danger, terror, and death await the creepers in a place ravaged by time and redolent of evil. The darkest secrets live in places you’re not supposed to be. “Chilling.” —Stephen King, New York Times bestselling author of Doctor Sleep “Crack this novel, and it’s like an alien abduction of your brain—forget resuming your normal life until it’s finished. This will be a classic.”—Douglas Preston, New York Times bestselling co-author (with Lincoln Child) of White Fire “With its nonstop cascade of ingeniously contrived dangers and assaults, culminating in an apocalyptic finale, Creepers provides the essence of all thrillers, an intense emotional effect that will leave readers drained.”—Washington Post",['David Morrell'],http://books.google.com/books/content?id=o26UAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=o26UAgAAQBAJ&printsec=frontcover&dq=Creepers&hl=&cd=1&source=gbs_api,David Morrell ,2011-06-22,https://play.google.com/store/books/details?id=o26UAgAAQBAJ&source=gbs_api,['Fiction'],471,3.7579617834394905,"Here are the chosen tags for the book ""Creepers"" by David Morrell:

**Genres**

* Thriller
* Horror

**Tone/Mood**

* Suspenseful
* Dark
* Chilling

**Features**

* Mystery Solving
* Danger
* Terror
* Death
* Urban Exploration
* Abandoned Building
* Supernatural Elements

**Settings**

* Urban
* Abandoned Building
* Hotel",,,,,,,,
Brave New World,"Brave New World predicts - with eerie clarity - a terrifying vision of the future. Read the dystopian classic that inspired the Sky TV series. EVERYONE BELONGS TO EVERYONE ELSE Welcome to New London. Everybody is happy here. Our perfect society achieved peace and stability through the prohibition of monogamy, privacy, money, family and history itself. Now everyone belongs. You can be happy too. All you need to do is take your Soma pills. Discover the brave new world of Aldous Huxley's classic novel, written in 1932, which prophesied a society which expects maximum pleasure and accepts complete surveillance - no matter what the cost. 'A masterpiece of speculation... As vibrant, fresh, and somehow shocking as it was when I first read it' Margaret Atwood, bestselling author of The Handmaid's Tale 'A grave warning... Provoking, stimulating, shocking and dazzling' Observer **One of the BBC's 100 Novels That Shaped Our World**",['Aldous Huxley'],http://books.google.com/books/content?id=kKh5Dyqxx-QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=kKh5Dyqxx-QC&printsec=frontcover&dq=Brave+New+World&hl=&cd=1&source=gbs_api,Random House,2008-12-26,https://play.google.com/store/books/details?id=kKh5Dyqxx-QC&source=gbs_api,['Fiction'],5136,4.227219626168225,"Here are the chosen tags for the book ""Brave New World"":

**Genres:** Science Fiction, Dystopian

**Themes:** Good vs. Evil, Power, Freedom, Identity, Loss

**Settings:** Futuristic, Dystopian Society

**Tone/Mood:** Suspenseful, Dark, Satirical, Gritty

**Audience:** Adult

**Writing Style:** Third-Person Narrative, Stream of Consciousness

**Features:** Technology, Social Commentary, Social Engineering, Control, Conformity

**Time Period:** Futuristic, Distant Future",,,,,,,,
Fahrenheit 451 (Cascades S.),"A not-too-distant future where happiness is allocated on a TV screen, where individuals and scholars are outcasts and where books are burned by a special task force of firemen. Montag, trained by the state to be a destroyer, throws away his can of kerosene and begins to read a book.",['Ray Bradbury'],http://books.google.com/books/content?id=g6O2uQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=g6O2uQAACAAJ&dq=Fahrenheit+451+(Cascades+S.)&hl=&cd=1&source=gbs_api,,1954-01-01,http://books.google.com/books?id=g6O2uQAACAAJ&dq=Fahrenheit+451+(Cascades+S.)&hl=&source=gbs_api,None,1186,4.2158516020236085,"Here are the chosen tags for the book ""Fahrenheit 451"" by Ray Bradbury:

### Genres

- Science Fiction
- Dystopian
- Classic

### Themes

- Good vs. Evil
- Freedom
- Power
- Loss
- Forbidden Love
- Redemption
- Courage

### Settings

- Futuristic
- Post-Apocalyptic
- Dystopian Society

### Tone/Mood

- Dark
- Suspenseful
- Emotional
- Reflective
- Tense

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Descriptive
- Lyrical
- Fast-Paced
- Plot-Driven","Science Fiction, Dystopian, Classic","Good vs. Evil, Freedom, Power, Loss, Forbidden Love, Redemption, Courage","Futuristic, Post-Apocalyptic, Dystopian Society","Dark, Suspenseful, Emotional, Reflective, Tense",Adult,"Third-Person Narrative, Descriptive, Lyrical, Fast-Paced, Plot-Driven",,
The War of the Worlds,"When a meteorite lands in Surrey, the locals don't know what to make of it. But as Martians emerge and begin killing bystanders, it quickly becomes clear—England is under attack. Armed soldiers converge on the scene to ward off the invaders, but meanwhile, more Martian cylinders land on Earth, bringing reinforcements. As war breaks out across England, the locals must fight for their lives, but life on Earth will never be the same. This is an unabridged version of one of the first fictional accounts of extraterrestrial invasion. H. G. Wells's military science fiction novel was first published in book form in 1898, and is considered a classic of English literature.",['H. G. Wells'],http://books.google.com/books/content?id=xJpXBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=xJpXBAAAQBAJ&printsec=frontcover&dq=The+War+of+the+Worlds&hl=&cd=1&source=gbs_api,First Avenue Editions ™,2017-01-01,https://play.google.com/store/books/details?id=xJpXBAAAQBAJ&source=gbs_api,['Fiction'],1063,4.308560677328316,"Here are the tags that fit best for the book ""The War of the Worlds"":

**Genres**

* Science Fiction
* Adventure
* Historical Fiction

**Themes**

* Survival
* Good vs. Evil
* War
* Invasion
* Destruction

**Settings**

* Futuristic
* Earth
* England
* Surrey

**Tone/Mood**

* Suspenseful
* Tense
* Dramatic
* Reflective

**Audience**

* Adult

**Writing Style**

* Third-Person Narrative
* Descriptive
* Plot-Driven

**Features**

* Science Fiction elements
* Alien Invasion
* War
* Destruction

**Time Period**

* Late 19th Century
* Futuristic (alternate timeline)",,,,,,,,
Middlesex [Unabridged Audiobook],"Spanning eight decades and chronicling the wild ride of a Greek-American family through the vicissitudes of the twentieth century, Jeffrey Eugenides’ witty, exuberant novel on one level tells a traditional story about three generations of a fantastic, absurd, lovable immigrant family -- blessed and cursed with generous doses of tragedy and high comedy. But there’s a provocative twist. Cal, the narrator -- also Callie -- is a hermaphrodite. And the explanation for this takes us spooling back in time, through a breathtaking review of the twentieth century, to 1922, when the Turks sacked Smyrna and Callie’s grandparents fled for their lives. Back to a tiny village in Asia Minor where two lovers, and one rare genetic mutation, set our narrator’s life in motion. Middlesex is a grand, utterly original fable of crossed bloodlines, the intricacies of gender, and the deep, untidy promptings of desire. It’s a brilliant exploration of divided people, divided families, divided cities and nations -- the connected halves that make up ourselves and our world.",['Jeffrey Eugenides'],http://books.google.com/books/content?id=rUHHbYhlIxYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=rUHHbYhlIxYC&printsec=frontcover&dq=Middlesex+%5BUnabridged+Audiobook%5D&hl=&cd=1&source=gbs_api,Vintage Canada,2011-07-18,http://books.google.com/books?id=rUHHbYhlIxYC&dq=Middlesex+%5BUnabridged+Audiobook%5D&hl=&source=gbs_api,['Fiction'],1015,4.289655172413793,"Here are the chosen tags:

### Genres

- Literary Fiction
- Historical Fiction
- Family Saga

### Themes

- Identity
- Family
- Coming of Age
- Love
- Redemption
- Grief
- Power
- Forbidden Love
- Gender

### Settings

- Ancient World
- Asia Minor
- United States
- Greece
- Turkey

### Tone/Mood

- Emotional
- Uplifting
- Heartwarming
- Reflective
- Bittersweet

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Stream of Consciousness
- Epistolary

### Features

- Family Secrets
- Historical Events
- Cultural Identity
- Genetic Mutations
- Hermaphroditism

### Time Period

- 20th Century
- Ancient Times","Literary Fiction, Historical Fiction, Family Saga","Identity, Family, Coming of Age, Love, Redemption, Grief, Power, Forbidden Love, Gender","Ancient World, Asia Minor, United States, Greece, Turkey","Emotional, Uplifting, Heartwarming, Reflective, Bittersweet",Adult,"Third-Person Narrative, Stream of Consciousness, Epistolary","Family Secrets, Historical Events, Cultural Identity, Genetic Mutations, Hermaphroditism","20th Century, Ancient Times"
Up from slavery: An autobiography,"In this acclaimed autobiography, Booker T. Washington makes a case for lifting up his race through education. Washington uses his personal story as the example, from his birth to slave parents on a Virginia plantation and his struggle to go to school to his adult achievements as a public speaker and black leader. Washington outlines more than forty years of his life, emphasizing how he overcame great obstacles in order to pursue his education at Hampton University. As an adult, he opened a school for black students in Tuskegee, Alabama, and later he established other successful vocational schools. Throughout the book, Washington describes his educational philosophy and his hopes and dreams for African Americans. This is an unabridged version of Booker T. Washington's life story, which was first published in 1901.",['Booker T. Washington'],http://books.google.com/books/content?id=3Bt_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=3Bt_DwAAQBAJ&printsec=frontcover&dq=Up+from+slavery:+An+autobiography&hl=&cd=1&source=gbs_api,First Avenue Editions ™,2019-01-01,https://play.google.com/store/books/details?id=3Bt_DwAAQBAJ&source=gbs_api,['Biography & Autobiography'],504,4.591269841269841,"Here are the tags that fit best:

**Genres**: Biography, Non-Fiction

**Themes**: Coming of Age, Education, Identity, Power, Redemption, Survival

**Tone/Mood**: Inspirational, Reflective, Uplifting

**Audience**: Adult

**Writing Style**: First-Person Narrative, Descriptive

**Features**: Autobiography

**Time Period**: Late 19th and Early 20th Century",,,,,,,,
Moby-Dick or the Whale,"Call me Ishmael. So begins the famous opening chapter of Moby-Dick; or, The Whale. Young sailor Ishmael is hired as a crew member of a whaler named Pequod, captained by a man named Ahab. In between lengthy chapters on whale biology and descriptions of the crew and the whaling trade, readers are slowly introduced to a captivating tale. Ahab is out for revenge on the great white whale that stole his leg, leaving him with a whale-bone prosthesis and a withering hatred for the beast. Known as Moby Dick, the whale is infamous for his encounters and escapes with whale ships, and Ahab offers a gold coin, nailed to the Pequod's mast, as a reward for whoever sights him first. Beginning on a cold Christmas morning, the crew embarks on a journey to find the whale and make their fortunes. An exciting staple of American literature, Moby-Dick is a must-read for anyone interested in the classics. Herman Melville was inspired to write Moby Dick by the 1821 biographical account Narrative of the Most Extraordinary and Distressing Shipwreck of the Whale-ship Essex (Cosimo Classics, 2015), which in turn inspired the 2000 novel and 2015 movie, In the Heart of the Sea. HERMAN MELVILLE (1819-1891) was an American novelist. Born in New York, Melville lived and worked in the city for many years before moving with his family to Massachusetts, where he enjoyed a short friendship with author Nathaniel Hawthorne. Many of Melville's books are inspired by his own experiences; he sailed on merchant and whaling ships, spent time on the Marquesas Islands with natives, and spent time in England, Egypt, and Palestine. Melville even wrote poetry reflecting on the American Civil War. He eventually retired in New York City, where he was buried in the Bronx, relatively unknown. Melville was the author of 19 books of fiction, nonfiction, and poetry, including *Typee* (1846), Moby-Dick (1851), ""Bartelby the Scrivener"" (1853), ""Benito Cerino"" (1855), Battle-Pieces and Aspects of the War (1866), and Billy Budd, Sailor (1891, unfinished).",['H. Melville'],http://books.google.com/books/content?id=RFpSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=RFpSDwAAQBAJ&printsec=frontcover&dq=Moby-Dick+or+the+Whale&hl=&cd=1&source=gbs_api,Рипол Классик,2016-01-04,https://play.google.com/store/books/details?id=RFpSDwAAQBAJ&source=gbs_api,['Fiction'],456,4.131578947368421,"Here are the chosen tags:

### **Genres**

- Classic
- Adventure
- Fiction

### **Themes**

- Revenge
- Good vs. Evil
- Quest
- Identity
- Power
- Loss
- Redemption
- Courage

### **Settings**

- Historical Era
- Maritime
- 19th Century
- America
- Europe

### **Tone/Mood**

- Suspenseful
- Inspirational
- Emotional
- Uplifting
- Dramatic

### **Audience**

- Adult
- Classic

### **Writing Style**

- Third-Person Narrative
- Descriptive
- Plot-Driven

### **Features**

- Quest
- Revenge
- Maritime
- Historical events

### **Time Period**

- 19th Century",,,,,,,,
Roses Are Red,"In this heart-pounding but touchingly romantic thriller, Detective Alex Cross pursues the most complex and brilliant killer he's ever confronted - mysterious criminal who calls himself the Mastermind. In a series of crimes that has stunned Washington, D.C., bank robbers have been laying out precise demands when they enter the building - and then killing the bank employees and their families if those instructions are not followed to the letter. Detective Alex Cross takes on the case, certain that this is no ordinary bank robber at work - the pathological need for control and perfection is too great. Cross is in the midst of a personal crisis at home, but the case becomes all-consuming as he learns that the Mastermind is plotting one huge, last, perfect crime.",['James Patterson'],http://books.google.com/books/content?id=Znt-ecoo_3wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Znt-ecoo_3wC&printsec=frontcover&dq=Roses+Are+Red&hl=&cd=1&source=gbs_api,"Little, Brown",2000-10-01,https://play.google.com/store/books/details?id=Znt-ecoo_3wC&source=gbs_api,['Fiction'],417,3.4748201438848922,"Here are the tags that fit best:

### **Genres**

- Thriller
- Mystery

### **Themes**

- Good vs. Evil
- Power
- Control
- Redemption

### **Settings**

- Contemporary

### **Tone/Mood**

- Suspenseful
- Dark
- Emotional

### **Audience**

- Adult

### **Writing Style**

- Third-Person Narrative
- Plot-Driven

### **Features**

- Mystery Solving
- Detective Work

### **Time Period**

- Contemporary",,,,,,,,
1st to Die: A Novel,"Four crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series. Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started working the crime desk of the San Francisco Chronicle. But the usual procedures aren't bringing them any closer to stopping the killings. So these women form a Women's Murder Club to collaborate outside the box and pursue the case by sidestepping their bosses and giving each other a hand. The four women develop intense bonds as they pursue a killer whose crimes have stunned an entire city. Working together, they track down the most terrifying and unexpected killer they have ever encountered--before a shocking conclusion in which everything they knew turns out to be devastatingly wrong. Full of the breathtaking drama and unforgettable emotions for which James Patterson is famous, 1st to Die is the start of the #1 New York Times bestselling series of crime thrillers.",['James Patterson'],http://books.google.com/books/content?id=mCd4BwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=mCd4BwAAQBAJ&printsec=frontcover&dq=1st+to+Die:+A+Novel&hl=&cd=1&source=gbs_api,Hachette UK,2001-03-05,http://books.google.nl/books?id=mCd4BwAAQBAJ&dq=1st+to+Die:+A+Novel&hl=&source=gbs_api,['Fiction'],667,3.9580209895052474,"Here are the chosen tags:

### Genres

- Thriller
- Mystery
- Crime

### Themes

- Good vs. Evil
- Justice
- Power
- Revenge
- Betrayal
- Redemption
- Courage

### Settings

- Contemporary
- Urban

### Tone/Mood

- Suspenseful
- Tense
- Dramatic
- Emotional

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Plot-Driven

### Features

- Mystery Solving
- Crime
- Detective Work
- Espionage

### Time Period

- Contemporary","Thriller, Mystery, Crime","Good vs. Evil, Justice, Power, Revenge, Betrayal, Redemption, Courage","Contemporary, Urban","Suspenseful, Tense, Dramatic, Emotional",Adult,"Third-Person Narrative, Plot-Driven","Mystery Solving, Crime, Detective Work, Espionage",Contemporary
